,zipcode,routing_file,label
100,65022,Y17--17-TOCC-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10028999-1.pdf
101,65023,Y17--17-TOCC-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061255-1.pdf
102,65024,Y18--6-CHIET-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061256-1.pdf
103,65025,Y18--6-CHIET-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046504-1.pdf
104,65026,Y17--17-TOCC-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10041109-1.pdf
105,65027,Y17--17-TOCC-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061257-1.pdf
106,65028,Y17--17-TOCC-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046505-1.pdf
107,65029,Y17--17-TOCC-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061258-1.pdf
108,65121,Y18--13-PESC-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061259-1.pdf
109,65122,Y18--13-PESC-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061260-1.pdf
110,65123,Y18--13-PESC-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10041110-1.pdf
111,65124,Y18--23-PESC-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061261-1.pdf
112,65125,Y18--23-PESC-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011469-1.pdf
113,65126,Y18--22-PESC-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061262-1.pdf
114,65127,Y18--13-PESC-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061263-1.pdf
115,65128,Y18--23-PESC-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061264-1.pdf
116,65129,Y18--23-PESC-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10065059-1.pdf
117,64010,Y19--A-MIX-6-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061265-1.pdf
118,64011,Y19--A-2-ALB-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011470-1.pdf
119,64012,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061266-1.pdf
120,64013,Y19--A-2-ALB-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061267-1.pdf
121,64014,Y19--A-2-ALB-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10029000-1.pdf
122,64015,Y19--A-2-ALB-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046506-1.pdf
123,64016,Y19--A-4-S-E-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011471-1.pdf
124,64018,Y19--A-2-ALB-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061268-1.pdf
125,64020,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046507-1.pdf
126,64021,Y19--A-1-PIN-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10029216-1.pdf
127,64023,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10042196-1.pdf
128,64024,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10014397-1.pdf
129,64025,Y19--A-1-PIN-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061269-1.pdf
130,64026,Y19--A-1-PIN-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061270-1.pdf
131,64027,Y19--A-4-S-E-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10038108-1.pdf
132,64028,Y17--9-MONTE-x15-A5,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061271-1.pdf
133,64030,Y19--A-MIX-6-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046508-1.pdf
134,64031,Y17--12-PENN-x15-A5,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046509-1.pdf
135,64032,Y19--A-1-PIN-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061272-1.pdf
136,64033,Y17--12-PENN-x15-A5,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10008309-1.pdf
137,64034,Y17--12-PENN-x15-A5,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046510-1.pdf
138,64035,Y19--A-1-PIN-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10002466-1.pdf
139,64036,Y19--A-1-PIN-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10041111-1.pdf
140,64037,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061273-1.pdf
141,64039,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061274-1.pdf
142,64040,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10040223-1.pdf
143,64041,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10043169-1.pdf
144,64042,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061275-1.pdf
145,64043,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011472-1.pdf
146,64044,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061276-1.pdf
147,64045,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061277-1.pdf
148,64046,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061278-1.pdf
149,64047,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011473-1.pdf
150,64049,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046511-1.pdf
151,64100,Y19--A-5-TER-x14-A7,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10029217-1.pdf
152,75010,Y22-27-NX--x17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061279-1.pdf
153,75011,Y22--27-S06--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061280-1.pdf
154,75012,Y22--27-S05--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10067047-1.pdf
155,75013,Y22--27-S02--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046512-1.pdf
156,75014,Y22--27-S06--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10039091-1.pdf
157,75015,Y22--27-S07--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061282-1.pdf
158,75016,Y22--27-S02--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10018072-1.pdf
159,75017,Y22--27-S02--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10063600-1.pdf
160,75018,Y22--27-S08--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061283-1.pdf
161,75019,Y22--27-S06--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061284-1.pdf
162,75020,Y22-27-NX--x17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061285-1.pdf
163,75021,Y22--27-S09--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061286-1.pdf
164,75022,Y22--27-S06--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046513-1.pdf
165,75023,Y22--27-S03--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061287-1.pdf
166,75024,Y22--21-S01--17b-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061288-1.pdf
167,75025,Y22--27-S04--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061289-1.pdf
168,75026,Y22--27-S09--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061290-1.pdf
169,75027,Y22--27-S09--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10029218-1.pdf
170,75028,Y22--27-S09--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10008787-1.pdf
171,75029,Y22--27-S09--17a-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10014398-1.pdf
172,75100,Y22--21-S01--17b-A9,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061291-1.pdf
173,85010,Y17-41-PX--x17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10030342-1.pdf
174,85011,Y17--40-M09--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061292-1.pdf
175,85012,Y17--40-M07--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061293-1.pdf
176,85013,Y17--6-M18-G-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061294-1.pdf
177,85014,Y17--40-M07--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061295-1.pdf
178,85015,Y17--41-M09--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011474-1.pdf
179,85016,Y17--40-M09--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061296-1.pdf
180,85017,Y17--6-M18-G-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061297-1.pdf
181,85018,Y17--40-M10--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061298-1.pdf
182,85020,Y17-41-PX--x17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061299-1.pdf
183,85021,Y17--40-PX-x-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061300-1.pdf
184,85022,Y17--43-M13--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046514-1.pdf
185,85023,Y17--40-M16--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061301-1.pdf
186,85024,Y17--41-M23--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10044081-1.pdf
187,85025,Y17--6-M12-M-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10065060-1.pdf
188,85026,Y17--41-M16--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011475-1.pdf
189,85027,Y17--6-M12-M-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061302-1.pdf
